	Acer_negundo	Acer_rubrum	Acer_saccharum	Ailanthus_altissima	Amelanchier_arborea	Asimina_triloba	Bumelia_lanuginosa	Carya_cordiformis	Carya_glabra	Carya_ovata	Carya_texana	Carya_tomentosa	Celtis_occidentalis	Celtis_tenuifolia	Cercis_canadensis	Cornus_drummondii	Cornus_florida	Diospyros_virginiana	Frangula_caroliniana	Fraxinus_americana	Gleditsia_triacanthos	Juglans_nigra	Juniperus_virginiana	Lindera_benzoin	Lonicera_maackii	Ostrya_viriginiana	Platanus_occidentalis	Prunus_americana	Prunus_serotina	Quercus_alba	Quercus_marilandica	Quercus_muehlenbergii	Quercus_rubra	Quercus_stellata	Quercus_velutina	Sassafras_albidum	Tilia_americana	Ulmus_rubra	Viburnum_rufidulum
1897	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	5	0	4	0	0	0	0
1898	0	0	0	1	0	0	0	0	5	2	3	1	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	7	5	2	1	0	0	0
1899	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	3	0	0	4	3	2	0	0	0	6
1900	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	11	18	1	2	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	1	0
1901	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	26	12	0	0	0	0	0	0	0	0	0	4	0	0	7	0	1	0	0	0	0
1902	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	30	1	0	0	0	0	1	0	0	1	0	8	0	0	5	0	2	5	0	0	0
1903	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	8	0	88	1	0	0	0	0	2	0	0	0	0	1	0	0	2	0	2	7	0	0	0
1904	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	92	1	0	0	0	0	3	0	0	0	0	0	0	0	3	0	1	13	0	0	0
1905	0	1	0	0	0	17	0	0	0	0	0	1	0	0	0	0	9	0	69	3	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	3	0	0	0
1906	0	0	0	0	0	12	0	0	3	0	0	2	0	0	0	0	5	0	108	1	0	0	0	0	13	0	0	0	0	0	0	0	1	0	1	2	0	0	0
1907	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	8	0	105	2	0	0	0	0	34	0	0	0	0	3	0	0	0	0	0	0	0	0	0
1908	0	0	0	0	0	7	0	0	1	0	0	3	0	0	0	0	8	0	90	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1909	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	16	0	77	2	0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0
1910	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	15	0	40	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	1	0
1911	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	62	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0
1912	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	9	0	66	1	0	0	0	0	2	0	0	0	0	7	0	0	0	0	1	0	0	3	0
