	Abies_amabilis	Abies_grandis	Acer_circinatum	Alnus_rubra	Amelanchier_alnifolia	Corylus_cornuta	Cornus_nuttallii	Holodiscus_discolor	Menziesia_ferruginea	Oemleria_cerasiformis	Pinus_monticola	Pseudotsuga_menziesii	Rhododendron_macrophyllum	Rhamnus_purshiana	Rosa_gymnocarpa	Rubus_spectabalis	Taxus_brevifolia	Thuja_plicata	Tsuga_heterophylla	Vaccinium_membranaceum	Vaccinium_ovalifolium	Vaccinium_parvifolium
A01	12	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	1
A02	45	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	9	0	0	0
A03	28	0	15	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	23	0	0	0
A04	25	0	17	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	13	0	0	2
A05	23	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	16	0	0	1
A06	27	0	14	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	66	0	0	5
A07	40	0	11	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	17	0	0	8
A08	24	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	20	0	0	8
A09	9	0	27	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	11	0	0	1
A10	4	0	42	0	0	2	0	2	0	0	0	1	0	0	0	0	4	0	4	0	0	0
A11	5	0	47	0	0	0	1	0	1	0	0	0	36	0	0	0	4	0	17	0	0	0
A12	20	0	5	0	0	0	1	0	0	0	0	0	59	0	0	0	2	0	13	0	0	10
A13	13	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	29	0	0	2
A14	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	0	0	2
A15	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	10	0	0	0
A16	12	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	27	0	0	2
A17	10	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	17	0	0	0
A18	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	13	0	0	0
A19	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	16	0	0	0
A20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	1
A21	1	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	9	0	0	0
A22	12	0	11	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	7	0	0	0
A23	5	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	17	0	0	0
A24	1	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	9	0	0	0
A25	6	1	12	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	21	0	0	0
