Row.names,alkaloids,heterocyclics,lipids,hydrocarbons,organic_acids,benzenoids,lignans,LeafSize,SLA,LWC,ChlorophyllContent,LeafToughness,BarkThickness,WoodDensity,Seed_mass_g.1000seeds_KEW
ABIEAM,14165410974,663803653.3,25469230062,110561296.6,8093119184,14602840359,82276132.59,0.24,46.63,2.1,NA,NA,1.82,0.13,55
ABIEBI,17460909039,6072683390,39827888029,908514012.4,8165749121,13004812423,36526515.21,NA,40.52,NA,NA,NA,0.65,0.31,9.9
ABIEGR,6372887934,294522170.6,10684238366,0,5716354238,5452832858,0,0.42,49.59,2.28,NA,NA,1.69,0.15,20.5
ACERCI,1582182105,784179966.5,1263208826,0,1205680304,8872144683,253080716.2,55.07,401.49,3.53,9.65,0.15,0.97,0.32,75.7
ACERNE,2149006879,1251124904,2179139398,24859851.87,2612966586,3705940636,48972232.1,32.36,318.03,4.11,10.89,NA,0.855,0.29,15.7
ACERPL,953144466.8,1484490562,1163907795,19100387.57,1612242134,6711796575,0,68.25,276.75,NA,NA,NA,NA,0.52,139
ACERRU,2410035165,3727985300,3654636363,18876308.58,2143123811,16591167629,0,51.3575,187.08,2.305,NA,NA,1.0625,0.3325,13.93
ACERS2,1568096234,798983036.2,4018501801,13624760.99,2350847522,4016648554,17371997.64,71.55,227.86,2.74,15.19,0.13,0.68,0.62,55.2
AILAAL,2772056241,2000594106,4478436702,6833512.815,3592155913,11240390669,0,40.09,271.5466667,3.673333333,23.63666667,NA,NA,0.27,27.9
AMELAL,7996719585,234076672.9,1105755740,107380141,1311621531,2041352435,0,12.18,311.59,2.85,11.32,NA,1.58,0.2,4.95
AMELAR,2345839910,2388886060,1453314574,31965894.19,2614570084,9583163587,0,22.27,196.3,2.5,12.74,0.19,0.77,0.35,5.67
AMELCA,1870109798,122895647,485105820.3,0,1135383407,8648314349,0,14.31,311.25,1.86,11.74,NA,1.46,0.24,8.1
ARALSP,16634438109,984829242.1,6140976503,9233229.205,2464044621,8997480091,0,141.51,136.79,NA,NA,NA,NA,NA,7.7
ASIMTR,6218102611,1834826903,4048115523,0,3455115462,8689775604,7026657.676,165.36,392.225,4.235,16.54,NA,1.49,0.22,810
BERBTH,11969127547,1839230559,2279913726,0,1502199386,3978217369,0,2.3,297.33,NA,NA,NA,NA,NA,17.1
BETUAL,559012048.3,19826596.09,2455018921,0,631274841.7,1003389700,0,48.45,142.86,NA,NA,NA,NA,0.66,0.9
BETUGL,4434946852,620994321.9,27804146693,922750284.7,4230269870,21801525373,3345152.193,14.11,155.45,NA,NA,NA,NA,NA,0.18
BETUNE,5989078146,628563479.9,43569184568,707581462.3,4004270259,41046034974,27125048.04,NA,NA,NA,NA,NA,NA,0.53,0.3
CARPCA,887621722.7,1997597479,3561611662,0,1182855126,4211970971,88604085,21.15,329.69,2.49,12.66,NA,0.8,0.33,26
CARYAL,1892636779,122895647,2448563348,0,2946691922,11559551986,0,59.17,164.48,2.06,NA,NA,1.74,0.14,NA
CARYCO,1523985378,370076682.5,3646938914,0,11379947901,5942615400,0,60.755,383.755,2.86,14.225,NA,1.38,0.32,2797.6
CARYGL,1515395410,230530957.3,1597085359,0,1298477444,6942420650,0,70.7525,174.475,2.0725,NA,NA,1.3525,0.36,3502
CARYO2,2555065154,252633729.5,2698807765,0,1590205035,7136536076,0,59.94,175.04,2.45,15.95,0.19,1.06,0.63,4401
CARYTE,1848812678,334804620.7,915818616.9,3573988.261,1181937101,10143436650,0,21.76,157.2,2.7,16.99,0.22,0.97,0.66,NA
CARYTO,1411064214,353435326,1906691003,0,1681090068,8375094299,0,41.43,174.71,2.41,16.08,0.19,0.99,0.55,5529
