"site","mean_dis","type"
"SERC",1.53435579867024,"morph"
"TRCP",1.47464454539757,"morph"
"WFDP",1.1917850889934,"morph"
"SERC",1.52553580653901,"morph"
"TRCP",1.48463439881737,"morph"
"WFDP",1.13964737528992,"morph"
"SERC",1.55825516947214,"morph"
"TRCP",1.51953468581925,"morph"
"WFDP",1.15317925262995,"morph"
"SERC",1.58662041365122,"morph"
"TRCP",1.5055417670878,"morph"
"WFDP",1.14675307134303,"morph"
"SERC",1.51308385488805,"morph"
"TRCP",1.53550305617536,"morph"
"WFDP",1.13378915969524,"morph"
"SERC",1.58637033166029,"morph"
"TRCP",1.5277783641071,"morph"
"WFDP",1.1610628067374,"morph"
"SERC",1.5477846797846,"morph"
"TRCP",1.51660841360526,"morph"
"WFDP",1.17447299919884,"morph"
"SERC",1.56074826976239,"morph"
"TRCP",1.4774816730603,"morph"
"WFDP",1.11370249043913,"morph"
"SERC",1.56534227241018,"morph"
"TRCP",1.47412454426437,"morph"
"WFDP",1.14596686608004,"morph"
