"site","mean_dis","type","obs"
"SERC",0.826561974042956,"meta","exp"
"TRCP",0.966713339000962,"meta","exp"
"WFDP",0.848020347424749,"meta","exp"
"SERC",0.842303384132145,"meta","exp"
"TRCP",0.957665099937853,"meta","exp"
"WFDP",0.900834500572439,"meta","exp"
"SERC",0.79209733033239,"meta","exp"
"TRCP",0.930923366905878,"meta","exp"
"WFDP",0.872261270457322,"meta","exp"
"SERC",0.85247743205238,"meta","exp"
"TRCP",0.923275528071091,"meta","exp"
"WFDP",0.869031423971682,"meta","exp"
"SERC",0.842153642763748,"meta","exp"
"TRCP",0.991497185051358,"meta","exp"
"WFDP",0.84883090962545,"meta","exp"
"SERC",0.842937228013472,"meta","exp"
"TRCP",0.96365943687015,"meta","exp"
"WFDP",0.866448080967818,"meta","exp"
"SERC",0.836405344970391,"meta","exp"
"TRCP",0.986729173562171,"meta","exp"
"WFDP",0.851229318104851,"meta","exp"
"SERC",0.85796594617765,"meta","exp"
"TRCP",0.914523285362172,"meta","exp"
"WFDP",0.900518730610178,"meta","exp"
"SERC",0.817094538362508,"meta","exp"
"TRCP",0.902893181400728,"meta","exp"
"WFDP",0.869073043721088,"meta","exp"
"SERC",0.78161311235612,"meta","exp"
"TRCP",0.973123803350756,"meta","exp"
"WFDP",0.909790089543285,"meta","exp"
"SERC",0.863725799799538,"meta","exp"
"TRCP",0.940931898910193,"meta","exp"
"WFDP",0.841240889939409,"meta","exp"
"SERC",0.845217240491729,"meta","exp"
"TRCP",0.971395483472628,"meta","exp"
"WFDP",0.864507754002182,"meta","exp"
"SERC",0.840345984742607,"meta","exp"
"TRCP",0.953996882738599,"meta","exp"
"WFDP",0.855088710744525,"meta","exp"
"SERC",0.79503283652544,"meta","exp"
"TRCP",0.976387210116454,"meta","exp"
"WFDP",0.885330421402334,"meta","exp"
"SERC",0.804077008180445,"meta","exp"
"TRCP",0.937819309107509,"meta","exp"
"WFDP",0.868541332897644,"meta","exp"
"SERC",0.79283739131386,"meta","exp"
"TRCP",0.941169099257092,"meta","exp"
"WFDP",0.862626911512364,"meta","exp"
"SERC",0.8297860430832,"meta","exp"
"TRCP",0.949720073547229,"meta","exp"
"WFDP",0.874991102213707,"meta","exp"
"SERC",0.791877037640321,"meta","exp"
"TRCP",0.930110870781167,"meta","exp"
"WFDP",0.903300321945685,"meta","exp"
"SERC",0.848386511884476,"meta","exp"
"TRCP",0.968179209918844,"meta","exp"
"WFDP",0.857448767672529,"meta","exp"
"SERC",0.800706568029406,"meta","exp"
"TRCP",0.935853619908592,"meta","exp"
"WFDP",0.90163586809906,"meta","exp"
"SERC",0.786545419552288,"meta","exp"
"TRCP",0.960126411312483,"meta","exp"
"WFDP",0.880669211285805,"meta","exp"
"SERC",0.851188002087903,"meta","exp"
"TRCP",0.948805118957467,"meta","exp"
"WFDP",0.889975341285148,"meta","exp"
"SERC",0.846748631947608,"meta","exp"
"TRCP",0.95496910794872,"meta","exp"
"WFDP",0.871463214494691,"meta","exp"
"SERC",0.854085117482889,"meta","exp"
