"sp","trait","values","code","type"
"Abies_amabilis","BarkThickness",1.36740297058124,NA,"morph"
"Abies_amabilis","LeafSize",-3.35563045800541,NA,"morph"
"Abies_amabilis","LWC",-1.08454844018874,NA,"morph"
"Abies_amabilis","SeedMassKEW",0.607846035287106,NA,"morph"
"Abies_amabilis","SLA",-2.3381423059674,NA,"morph"
"Abies_amabilis","WoodDensity",-1.05964845753946,NA,"morph"
"Abies_grandis","BarkThickness",1.08033702381863,NA,"morph"
"Abies_grandis","LeafSize",-2.95979246809712,NA,"morph"
"Abies_grandis","LWC",-0.871946110276588,NA,"morph"
"Abies_grandis","SeedMassKEW",0.274110372235455,NA,"morph"
"Abies_grandis","SLA",-2.24065241797148,NA,"morph"
"Abies_grandis","WoodDensity",-0.978346669208714,NA,"morph"
"Acer_circinatum","BarkThickness",-0.415758494345601,NA,"morph"
"Acer_circinatum","LeafSize",0.487245495264078,NA,"morph"
"Acer_circinatum","LWC",0.562835420434736,NA,"morph"
"Acer_circinatum","SeedMassKEW",0.71587043908333,NA,"morph"
"Acer_circinatum","SLA",1.06921881786278,NA,"morph"
"Acer_circinatum","WoodDensity",-0.13822818979097,NA,"morph"
"Acer_negundo","BarkThickness",-0.666739144196111,NA,"morph"
"Acer_negundo","LeafSize",0.107564128661696,NA,"morph"
"Acer_negundo","LWC",1.2341598831208,NA,"morph"
"Acer_negundo","SeedMassKEW",-0.594747942112277,NA,"morph"
"Acer_negundo","SLA",0.700424640960529,NA,"morph"
"Acer_negundo","WoodDensity",-0.270553009525653,NA,"morph"
"Acer_rubrum","BarkThickness",-0.393710526312927,NA,"morph"
"Acer_rubrum","LeafSize",0.460389099876591,NA,"morph"
"Acer_rubrum","LWC",-0.745904105441213,NA,"morph"
"Acer_rubrum","SeedMassKEW",-0.635197596788708,NA,"morph"
"Acer_rubrum","SLA",-0.101474445278289,NA,"morph"
"Acer_rubrum","WoodDensity",0.165939046188253,NA,"morph"
"Acer_saccharum","BarkThickness",-1.0219705312645,NA,"morph"
"Acer_saccharum","LeafSize",0.671995816957022,NA,"morph"
"Acer_saccharum","LWC",-0.346027368624448,NA,"morph"
"Acer_saccharum","SeedMassKEW",-0.948223706813872,NA,"morph"
"Acer_saccharum","SLA",0.172734204529394,NA,"morph"
"Acer_saccharum","WoodDensity",1.33358054805114,NA,"morph"
"Ailanthus_altissima","BarkThickness",0.25685587726605,NA,"morph"
"Ailanthus_altissima","LeafSize",0.218187598504219,NA,"morph"
"Ailanthus_altissima","LWC",0.835838669492152,NA,"morph"
"Ailanthus_altissima","SeedMassKEW",-0.400315843843697,NA,"morph"
"Ailanthus_altissima","SLA",0.527529036252396,NA,"morph"
"Ailanthus_altissima","WoodDensity",-0.180603667345178,NA,"morph"
"Albizia_julibrissin","BarkThickness",NA,NA,"morph"
"Albizia_julibrissin","LeafSize",NA,NA,"morph"
"Albizia_julibrissin","LWC",NA,NA,"morph"
"Albizia_julibrissin","SeedMassKEW",NA,NA,"morph"
"Albizia_julibrissin","SLA",NA,NA,"morph"
"Albizia_julibrissin","WoodDensity",NA,NA,"morph"
"Alnus_rubra","BarkThickness",0.470583808432369,NA,"morph"
"Alnus_rubra","LeafSize",0.258096652162219,NA,"morph"
"Alnus_rubra","LWC",0.0777007228588081,NA,"morph"
"Alnus_rubra","SeedMassKEW",-0.715054575434496,NA,"morph"
"Alnus_rubra","SLA",-0.343676623084845,NA,"morph"
"Alnus_rubra","WoodDensity",-0.877335356434147,NA,"morph"
"Amelanchier_alnifolia","BarkThickness",0.863815263486741,NA,"morph"
"Amelanchier_alnifolia","LeafSize",-0.577817067329719,NA,"morph"
"Amelanchier_alnifolia","LWC",-0.223727957547046,NA,"morph"
"Amelanchier_alnifolia","SeedMassKEW",-0.206431567848137,NA,"morph"
"Amelanchier_alnifolia","SLA",0.668064757869218,NA,"morph"
"Amelanchier_alnifolia","WoodDensity",-0.711446859032011,NA,"morph"
"Amelanchier_arborea","BarkThickness",-0.832045113102097,NA,"morph"
"Amelanchier_arborea","LeafSize",-0.151937955328348,NA,"morph"
"Amelanchier_arborea","LWC",-0.623388368443212,NA,"morph"
"Amelanchier_arborea","SeedMassKEW",-0.939157137213828,NA,"morph"
"Amelanchier_arborea","SLA",-0.0631735099413334,NA,"morph"
"Amelanchier_arborea","WoodDensity",-0.00617437601738833,NA,"morph"
"Amelanchier_canadensis","BarkThickness",0.608878352128222,NA,"morph"
"Amelanchier_canadensis","LeafSize",-0.464011287500671,NA,"morph"
"Amelanchier_canadensis","LWC",-1.35916546518469,NA,"morph"
"Amelanchier_canadensis","SeedMassKEW",-0.0398943460583081,NA,"morph"
"Amelanchier_canadensis","SLA",0.666336958863267,NA,"morph"
"Amelanchier_canadensis","WoodDensity",-0.537346059778285,NA,"morph"
"Aralia_spinosa","BarkThickness",NA,NA,"morph"
"Aralia_spinosa","LeafSize",NA,NA,"morph"
"Aralia_spinosa","LWC",NA,NA,"morph"
"Aralia_spinosa","SeedMassKEW",NA,NA,"morph"
"Aralia_spinosa","SLA",NA,NA,"morph"
"Aralia_spinosa","WoodDensity",NA,NA,"morph"
"Asimina_triloba","BarkThickness",0.671966507322541,NA,"morph"
"Asimina_triloba","LeafSize",1.25427786597944,NA,"morph"
"Asimina_triloba","LWC",1.38208574969081,NA,"morph"
"Asimina_triloba","SeedMassKEW",0.746306516383107,NA,"morph"
"Asimina_triloba","SLA",1.01335187641689,NA,"morph"
"Asimina_triloba","WoodDensity",-0.613277002698094,NA,"morph"
"Berberis_nervosa","BarkThickness",NA,NA,"morph"
"Berberis_nervosa","LeafSize",-0.431655017173318,NA,"morph"
"Berberis_nervosa","LWC",-1.18572525019103,NA,"morph"
"Berberis_nervosa","SeedMassKEW",0.200707233719484,NA,"morph"
"Berberis_nervosa","SLA",-1.20482599380646,NA,"morph"
"Berberis_nervosa","WoodDensity",NA,NA,"morph"
"Betula_nigra","BarkThickness",NA,NA,"morph"
"Betula_nigra","LeafSize",NA,NA,"morph"
"Betula_nigra","LWC",NA,NA,"morph"
"Betula_nigra","SeedMassKEW",-0.67454226756274,NA,"morph"
"Betula_nigra","SLA",NA,NA,"morph"
"Betula_nigra","WoodDensity",NA,NA,"morph"
"Broussonetia_papyrifera","BarkThickness",NA,NA,"morph"
"Broussonetia_papyrifera","LeafSize",NA,NA,"morph"
"Broussonetia_papyrifera","LWC",NA,NA,"morph"
"Broussonetia_papyrifera","SeedMassKEW",NA,NA,"morph"
"Broussonetia_papyrifera","SLA",NA,NA,"morph"
"Broussonetia_papyrifera","WoodDensity",NA,NA,"morph"
"Carpinus_caroliniana","BarkThickness",-0.782448572327031,NA,"morph"
"Carpinus_caroliniana","LeafSize",-0.18835337082881,NA,"morph"
"Carpinus_caroliniana","LWC",-0.638026865655907,NA,"morph"
"Carpinus_caroliniana","SeedMassKEW",0.354482080935323,NA,"morph"
