"site","quadrat","trait","cwm"
"SERC","1011","BarkThickness",1.24373333333333
"SERC","1011","ChlorophyllContent",3.64950370370376
"SERC","1011","LeafSize",3.77328490857517
"SERC","1011","LWC",2.2537613617998
"SERC","1011","SeedMassKEW",3.82819160614294
"SERC","1011","SLA",5.26668043604369
"SERC","1011","WoodDensity",0.241976444444444
"SERC","1013","BarkThickness",1.156625
"SERC","1013","ChlorophyllContent",6.97693055555554
"SERC","1013","LeafSize",3.67502689342175
"SERC","1013","LWC",2.37377727628039
"SERC","1013","SeedMassKEW",4.75703489826285
"SERC","1013","SLA",5.43959639918481
"SERC","1013","WoodDensity",0.283927083333333
"SERC","1015","BarkThickness",1.0815202020202
"SERC","1015","ChlorophyllContent",9.15567676767694
"SERC","1015","LeafSize",3.43729664636794
"SERC","1015","LWC",2.45880510032973
"SERC","1015","SeedMassKEW",3.86571762253589
"SERC","1015","SLA",5.5388668317989
"SERC","1015","WoodDensity",0.276537316017316
"SERC","1017","BarkThickness",0.922136363636364
"SERC","1017","ChlorophyllContent",9.49700000000025
"SERC","1017","LeafSize",3.28321732368153
"SERC","1017","LWC",2.34397629564842
"SERC","1017","SeedMassKEW",3.61820792294947
"SERC","1017","SLA",5.67800885345855
"SERC","1017","WoodDensity",0.310339090909091
"SERC","1019","BarkThickness",1.15162301587302
"SERC","1019","ChlorophyllContent",7.00404761904769
"SERC","1019","LeafSize",3.69490334390705
"SERC","1019","LWC",2.45744977555994
"SERC","1019","SeedMassKEW",4.23823959647266
"SERC","1019","SLA",5.47662912750145
"SERC","1019","WoodDensity",0.26883693877551
"SERC","1031","BarkThickness",0.924242424242424
"SERC","1031","ChlorophyllContent",7.85212626262627
"SERC","1031","LeafSize",3.21535522882757
"SERC","1031","LWC",2.88405382545057
"SERC","1031","SeedMassKEW",3.17714560961511
"SERC","1031","SLA",4.76046313519103
"SERC","1031","WoodDensity",0.221326363636364
"SERC","1033","BarkThickness",1.15401639344262
"SERC","1033","ChlorophyllContent",5.00416393442631
"SERC","1033","LeafSize",3.6509021360353
"SERC","1033","LWC",2.25492581161378
"SERC","1033","SeedMassKEW",4.21096325241456
"SERC","1033","SLA",5.46910201284428
"SERC","1033","WoodDensity",0.275339391100703
"SERC","1035","BarkThickness",1.13603100775194
"SERC","1035","ChlorophyllContent",8.08639534883737
"SERC","1035","LeafSize",3.650817298049
"SERC","1035","LWC",2.57159436441255
"SERC","1035","SeedMassKEW",4.14742761887672
"SERC","1035","SLA",5.59730793264761
"SERC","1035","WoodDensity",0.270262325581395
"SERC","1037","BarkThickness",1.05781818181818
"SERC","1037","ChlorophyllContent",8.97348484848506
"SERC","1037","LeafSize",3.48264009136711
"SERC","1037","LWC",2.54026666581224
"SERC","1037","SeedMassKEW",3.73231189219458
"SERC","1037","SLA",5.6333502203665
"SERC","1037","WoodDensity",0.276947272727273
"SERC","1039","BarkThickness",1.25041176470588
"SERC","1039","ChlorophyllContent",3.754205882353
"SERC","1039","LeafSize",3.83482299507879
"SERC","1039","LWC",2.18712092642002
"SERC","1039","SeedMassKEW",4.38936932734472
"SERC","1039","SLA",5.46720700215816
"SERC","1039","WoodDensity",0.267925882352941
"SERC","1051","BarkThickness",1.04673529411765
"SERC","1051","ChlorophyllContent",12.7972549019608
"SERC","1051","LeafSize",3.75530275724993
"SERC","1051","LWC",3.83178542611171
"SERC","1051","SeedMassKEW",4.25008276347028
"SERC","1051","SLA",5.74888875490535
"SERC","1051","WoodDensity",0.257166764705882
"SERC","1053","BarkThickness",1.06753846153846
"SERC","1053","ChlorophyllContent",10.2833743589744
"SERC","1053","LeafSize",3.69094947467399
"SERC","1053","LWC",3.31764576158369
"SERC","1053","SeedMassKEW",4.07356576202943
"SERC","1053","SLA",5.51641439984233
"SERC","1053","WoodDensity",0.247743384615385
"SERC","1055","BarkThickness",1.06436363636364
"SERC","1055","ChlorophyllContent",7.24234343434358
"SERC","1055","LeafSize",3.58691126061069
"SERC","1055","LWC",2.49081338791067
"SERC","1055","SeedMassKEW",3.9861154911444
"SERC","1055","SLA",5.57670582116692
"SERC","1055","WoodDensity",0.278197575757576
"SERC","1057","BarkThickness",1.13011428571429
"SERC","1057","ChlorophyllContent",5.17565714285726
"SERC","1057","LeafSize",3.63153061443435
"SERC","1057","LWC",2.15861006251616
"SERC","1057","SeedMassKEW",4.4237130875028
"SERC","1057","SLA",5.50095134337622
"SERC","1057","WoodDensity",0.283341714285714
"SERC","1059","BarkThickness",1.16995495495496
"SERC","1059","ChlorophyllContent",8.64055255255262
"SERC","1059","LeafSize",3.56875878940043
"SERC","1059","LWC",2.43248109986272
"SERC","1059","SeedMassKEW",4.33596707901815
"SERC","1059","SLA",5.44596457028455
"SERC","1059","WoodDensity",0.268439897039896
"SERC","1071","BarkThickness",1.07234482758621
"SERC","1071","ChlorophyllContent",11.9143831417624
"SERC","1071","LeafSize",3.80198264013459
"SERC","1071","LWC",3.79787226503785
"SERC","1071","SeedMassKEW",4.14921211924502
"SERC","1071","SLA",5.72791880089481
"SERC","1071","WoodDensity",0.247568735632184
"SERC","1073","BarkThickness",1.02419672131148
"SERC","1073","ChlorophyllContent",12.1416393442623
"SERC","1073","LeafSize",3.83800155012127
"SERC","1073","LWC",3.86418951280772
"SERC","1073","SeedMassKEW",4.26475398263593
"SERC","1073","SLA",5.76197974926888
"SERC","1073","WoodDensity",0.25958393442623
"SERC","1075","BarkThickness",0.979833333333333
"SERC","1075","ChlorophyllContent",13.4111666666667
"SERC","1075","LeafSize",3.77271565304096
"SERC","1075","LWC",3.92022507236052
"SERC","1075","SeedMassKEW",4.09338890158357
"SERC","1075","SLA",5.78096494021212
"SERC","1075","WoodDensity",0.272587916666667
"SERC","1077","BarkThickness",1.05655357142857
"SERC","1077","ChlorophyllContent",7.87073809523814
"SERC","1077","LeafSize",3.74965067415638
"SERC","1077","LWC",2.94197273198501
"SERC","1077","SeedMassKEW",4.16269379271212
"SERC","1077","SLA",5.59462091421096
"SERC","1077","WoodDensity",0.279837142857143
"SERC","1079","BarkThickness",1.13533333333333
"SERC","1079","ChlorophyllContent",4.07039682539686
"SERC","1079","LeafSize",3.85702289544358
"SERC","1079","LWC",2.31323764325542
"SERC","1079","SeedMassKEW",4.31441000249022
"SERC","1079","SLA",5.47485380329639
"SERC","1079","WoodDensity",0.282648095238095
"SERC","1091","BarkThickness",1.04928571428571
"SERC","1091","ChlorophyllContent",10.6540476190476
"SERC","1091","LeafSize",3.86481238753949
"SERC","1091","LWC",3.71014672805465
"SERC","1091","SeedMassKEW",4.07482134119541
"SERC","1091","SLA",5.69680580906684
"SERC","1091","WoodDensity",0.26
"SERC","1093","BarkThickness",0.98075
"SERC","1093","ChlorophyllContent",12.2154166666667
"SERC","1093","LeafSize",3.67832103603755
"SERC","1093","LWC",3.77808286949753
"SERC","1093","SeedMassKEW",4.19153839697396
"SERC","1093","SLA",5.55110389503314
"SERC","1093","WoodDensity",0.245073333333333
"SERC","1095","BarkThickness",1.03504615384615
"SERC","1095","ChlorophyllContent",11.8266564102564
"SERC","1095","LeafSize",3.82967421324293
"SERC","1095","LWC",3.80208613831568
"SERC","1095","SeedMassKEW",4.16299585269686
"SERC","1095","SLA",5.74335930417162
"SERC","1095","WoodDensity",0.256979384615385
"SERC","1097","BarkThickness",1.02711111111111
"SERC","1097","ChlorophyllContent",12.9166074074074
"SERC","1097","LeafSize",3.81036311919803
"SERC","1097","LWC",3.8235469518532
"SERC","1097","SeedMassKEW",4.04624984724427
"SERC","1097","SLA",5.7813983275697
"SERC","1097","WoodDensity",0.258603111111111
"SERC","1099","BarkThickness",1.01812698412698
"SERC","1099","ChlorophyllContent",11.2399365079365
"SERC","1099","LeafSize",3.8137832842906
"SERC","1099","LWC",3.70076854692383
"SERC","1099","SeedMassKEW",3.79759392750428
"SERC","1099","SLA",5.68646265437272
"SERC","1099","WoodDensity",0.273265396825397
"SERC","111","BarkThickness",1.30536363636364
"SERC","111","LeafSize",3.95806345704795
"SERC","111","LWC",2.58212720725467
"SERC","111","SeedMassKEW",2.78976786925877
"SERC","111","SLA",5.01104241901871
"SERC","111","WoodDensity",0.194579090909091
"SERC","1111","BarkThickness",1.0404183006536
"SERC","1111","ChlorophyllContent",8.01939215686292
"SERC","1111","LeafSize",3.51379474825859
"SERC","1111","LWC",2.40054404646404
"SERC","1111","SeedMassKEW",4.03940230979788
"SERC","1111","SLA",5.60527825353728
"SERC","1111","WoodDensity",0.292475294117647
"SERC","1113","BarkThickness",1.12348936170213
"SERC","1113","ChlorophyllContent",5.9645390070923
"SERC","1113","LeafSize",3.619726042709
"SERC","1113","LWC",2.12193350579899
"SERC","1113","SeedMassKEW",4.2374215288425
"SERC","1113","SLA",5.48683067108528
"SERC","1113","WoodDensity",0.288302127659574
"SERC","1115","BarkThickness",1.22139393939394
"SERC","1115","ChlorophyllContent",4.32395959595961
"SERC","1115","LeafSize",3.79414946288327
"SERC","1115","LWC",2.21690421832837
"SERC","1115","SeedMassKEW",4.64948826541677
"SERC","1115","SLA",5.44998241142313
"SERC","1115","WoodDensity",0.275695757575758
"SERC","1117","BarkThickness",1.20268852459016
"SERC","1117","ChlorophyllContent",2.95155191256838
"SERC","1117","LeafSize",3.80226600907822
"SERC","1117","LWC",2.01359573290587
"SERC","1117","SeedMassKEW",4.57871607188409
"SERC","1117","SLA",5.45145423569025
"SERC","1117","WoodDensity",0.276606557377049
"SERC","1119","BarkThickness",1.19788
"SERC","1119","ChlorophyllContent",4.69797333333342
"SERC","1119","LeafSize",3.78831920476683
"SERC","1119","LWC",2.0143653638455
"SERC","1119","SeedMassKEW",4.33200128147315
"SERC","1119","SLA",5.46412605598346
"SERC","1119","WoodDensity",0.2764638
"SERC","113","BarkThickness",1.48855882352941
"SERC","113","ChlorophyllContent",3.32391176470594
"SERC","113","LeafSize",4.19446626501742
"SERC","113","LWC",2.76241004667684
"SERC","113","SeedMassKEW",3.7456903462367
"SERC","113","SLA",5.23865968596905
"SERC","113","WoodDensity",0.186873235294118
"SERC","1131","BarkThickness",1.04347517730496
"SERC","1131","ChlorophyllContent",10.0119550827424
"SERC","1131","LeafSize",3.53240133568444
"SERC","1131","LWC",2.76298900307751
"SERC","1131","SeedMassKEW",3.96151250783891
"SERC","1131","SLA",5.64586681999391
"SERC","1131","WoodDensity",0.281017446808511
"SERC","1133","BarkThickness",1.03638596491228
"SERC","1133","ChlorophyllContent",9.10217543859661
"SERC","1133","LeafSize",3.5947236902898
"SERC","1133","LWC",2.78228183278891
"SERC","1133","SeedMassKEW",4.30648754224009
"SERC","1133","SLA",5.66991247661076
"SERC","1133","WoodDensity",0.288001052631579
"SERC","1135","BarkThickness",1.1379347826087
"SERC","1135","ChlorophyllContent",7.49468115942037
"SERC","1135","LeafSize",3.62288566608236
"SERC","1135","LWC",2.46610976251451
"SERC","1135","SeedMassKEW",4.56460557027853
"SERC","1135","SLA",5.55685882956495
"SERC","1135","WoodDensity",0.280146956521739
"SERC","1137","BarkThickness",1.14256666666667
"SERC","1137","ChlorophyllContent",5.32643333333343
"SERC","1137","LeafSize",3.65388604256196
"SERC","1137","LWC",2.22994493632832
"SERC","1137","SeedMassKEW",4.33947981361229
"SERC","1137","SLA",5.53481075218082
"SERC","1137","WoodDensity",0.281325
"SERC","1139","BarkThickness",1.15515492957746
"SERC","1139","ChlorophyllContent",6.78365727699538
"SERC","1139","LeafSize",3.62631727814407
"SERC","1139","LWC",2.47788135126754
"SERC","1139","SeedMassKEW",4.1539528249785
"SERC","1139","SLA",5.55833030242015
"SERC","1139","WoodDensity",0.271531267605634
"SERC","115","BarkThickness",1.33742857142857
"SERC","115","ChlorophyllContent",4.31855873015879
"SERC","115","LeafSize",4.02025752802446
"SERC","115","LWC",2.37906811462564
"SERC","115","SeedMassKEW",4.44481141225006
"SERC","115","SLA",5.25575093394226
"SERC","115","WoodDensity",0.221819833333333
"SERC","1151","BarkThickness",1.22372
"SERC","1151","ChlorophyllContent",9.68586666666664
"SERC","1151","LeafSize",3.68350910994671
"SERC","1151","LWC",3.16133080530708
"SERC","1151","SeedMassKEW",4.83804243594132
"SERC","1151","SLA",5.57285895933101
"SERC","1151","WoodDensity",0.2522128
"SERC","1153","BarkThickness",1.0728125
"SERC","1153","ChlorophyllContent",10.8116944444445
"SERC","1153","LeafSize",3.74142899287131
"SERC","1153","LWC",3.31535592581769
"SERC","1153","SeedMassKEW",4.67922251720977
"SERC","1153","SLA",5.71885345197717
"SERC","1153","WoodDensity",0.269225833333333
"SERC","1155","BarkThickness",1.23887272727273
"SERC","1155","ChlorophyllContent",2.88351515151518
"SERC","1155","LeafSize",3.83009014666289
"SERC","1155","LWC",2.06967729749143
"SERC","1155","SeedMassKEW",4.96438951064909
"SERC","1155","SLA",5.45178383673965
"SERC","1155","WoodDensity",0.275461818181818
"SERC","1157","BarkThickness",1.57342056074766
"SERC","1157","ChlorophyllContent",10.4539252336451
"SERC","1157","LeafSize",4.49032446896461
"SERC","1157","LWC",3.25519368390927
