"","quadrat","values","site","trait"
"1","A01",0.243003036878072,"WFDP","fdis_func"
"2","A02",0.17475209615953,"WFDP","fdis_func"
"3","A03",0.234890318434302,"WFDP","fdis_func"
"4","A04",0.269913666165944,"WFDP","fdis_func"
"5","A05",0.19101655395162,"WFDP","fdis_func"
"6","A06",0.198257907082616,"WFDP","fdis_func"
"7","A07",0.234245440966637,"WFDP","fdis_func"
"8","A08",0.244476109040164,"WFDP","fdis_func"
"9","A09",0.291526089735386,"WFDP","fdis_func"
"10","A10",0.202350944002493,"WFDP","fdis_func"
"11","A11",0.272449415792418,"WFDP","fdis_func"
"12","A12",0.264692724190971,"WFDP","fdis_func"
"13","A13",0.175470935132354,"WFDP","fdis_func"
"14","A14",0.234057097841208,"WFDP","fdis_func"
"15","A15",0.223794492245768,"WFDP","fdis_func"
"16","A16",0.190598760807061,"WFDP","fdis_func"
"17","A17",0.143766526243128,"WFDP","fdis_func"
"18","A18",0.165663404027654,"WFDP","fdis_func"
"19","A19",0.107548299453515,"WFDP","fdis_func"
"20","A20",0.0814891938746086,"WFDP","fdis_func"
"21","A21",0.29484642643472,"WFDP","fdis_func"
"22","A22",0.285482786352449,"WFDP","fdis_func"
"23","A23",0.214869790126678,"WFDP","fdis_func"
"24","A24",0.263241650367588,"WFDP","fdis_func"
"25","A25",0.25427098921018,"WFDP","fdis_func"
"26","A26",0.219029472172656,"WFDP","fdis_func"
"27","A27",0.287369944864611,"WFDP","fdis_func"
"28","A28",0.271780805857396,"WFDP","fdis_func"
"29","A29",0.25974472652386,"WFDP","fdis_func"
"30","A30",0.261532007531644,"WFDP","fdis_func"
"31","A31",0.141087985704006,"WFDP","fdis_func"
"32","A32",0.299317108322171,"WFDP","fdis_func"
"33","A33",0.275447663910272,"WFDP","fdis_func"
"34","A34",0.262097827007803,"WFDP","fdis_func"
"35","A35",0.260876326011906,"WFDP","fdis_func"
"36","A36",0.237685219335785,"WFDP","fdis_func"
"37","A37",0.181818166687568,"WFDP","fdis_func"
"38","A38",0.163928094474174,"WFDP","fdis_func"
"39","A39",0.14254834123994,"WFDP","fdis_func"
"40","A40",0.137360736917318,"WFDP","fdis_func"
"41","B01",0.281718511456804,"WFDP","fdis_func"
"42","B02",0.21325308900448,"WFDP","fdis_func"
"43","B03",0.239289575404308,"WFDP","fdis_func"
"44","B04",0.222083534179933,"WFDP","fdis_func"
"45","B05",0.190898004287467,"WFDP","fdis_func"
"46","B06",0.22027225408603,"WFDP","fdis_func"
"47","B07",0.292619996942712,"WFDP","fdis_func"
"48","B08",0.294163078798928,"WFDP","fdis_func"
"49","B09",0.253677561768504,"WFDP","fdis_func"
"50","B10",0.105206165139659,"WFDP","fdis_func"
"51","B11",0.25060296012565,"WFDP","fdis_func"
"52","B12",0.197889978710015,"WFDP","fdis_func"
"53","B13",0.297789826775984,"WFDP","fdis_func"
"54","B14",0.196743829817637,"WFDP","fdis_func"
"55","B15",0.245078258013199,"WFDP","fdis_func"
"56","B16",0.22714502569394,"WFDP","fdis_func"
"57","B17",0.254238895266491,"WFDP","fdis_func"
"58","B18",0.26603844632008,"WFDP","fdis_func"
"59","B19",0.258874961080485,"WFDP","fdis_func"
"60","B20",0.143562438241403,"WFDP","fdis_func"
"61","B21",0.195003118430014,"WFDP","fdis_func"
"62","B22",0.174841716234415,"WFDP","fdis_func"
"63","B23",0.279867331891189,"WFDP","fdis_func"
"64","B24",0.28854631779769,"WFDP","fdis_func"
"65","B25",0.266653495306527,"WFDP","fdis_func"
"66","B26",0.179534606811213,"WFDP","fdis_func"
"67","B27",0.304561718449001,"WFDP","fdis_func"
"68","B28",0.295824204898062,"WFDP","fdis_func"
"69","B29",0.29008701031564,"WFDP","fdis_func"
"70","B30",0.290729024878862,"WFDP","fdis_func"
"71","B31",0.297866541686268,"WFDP","fdis_func"
"72","B32",0.285317384454603,"WFDP","fdis_func"
"73","B33",0.258925739811489,"WFDP","fdis_func"
"74","B34",0.0525508042113739,"WFDP","fdis_func"
"75","B35",0.263261465532352,"WFDP","fdis_func"
"76","B36",0.184206414481513,"WFDP","fdis_func"
"77","B37",0.161856148646904,"WFDP","fdis_func"
"78","B38",0.261294342935305,"WFDP","fdis_func"
"79","B39",0.290935220439531,"WFDP","fdis_func"
"80","B40",0.243402842729615,"WFDP","fdis_func"
"81","C01",0.226509355312199,"WFDP","fdis_func"
"82","C02",0.246063555215888,"WFDP","fdis_func"
"83","C03",0.134772208290737,"WFDP","fdis_func"
"84","C04",0.200946836027199,"WFDP","fdis_func"
"85","C05",0.15489023081736,"WFDP","fdis_func"
"86","C06",0.161726482307612,"WFDP","fdis_func"
"87","C07",0.19849489257113,"WFDP","fdis_func"
"88","C08",0.28536238195195,"WFDP","fdis_func"
"89","C09",0.268358782164932,"WFDP","fdis_func"
"90","C10",0.260166945866158,"WFDP","fdis_func"
"91","C11",0.265811608807046,"WFDP","fdis_func"
"92","C12",0.182815240757407,"WFDP","fdis_func"
"93","C13",0.288083579581773,"WFDP","fdis_func"
"94","C14",0.20885999181347,"WFDP","fdis_func"
"95","C15",0.21538914127367,"WFDP","fdis_func"
"96","C16",0.184927236336149,"WFDP","fdis_func"
"97","C17",0.140716944694956,"WFDP","fdis_func"
"98","C18",0.188888631587838,"WFDP","fdis_func"
"99","C19",0.22701047155217,"WFDP","fdis_func"
"100","C20",0.271300389237141,"WFDP","fdis_func"
"101","C21",0.169007894800044,"WFDP","fdis_func"
"102","C22",0.235200808369747,"WFDP","fdis_func"
"103","C23",0.211633994537985,"WFDP","fdis_func"
"104","C24",0.27693614677011,"WFDP","fdis_func"
"105","C25",0.299399053815093,"WFDP","fdis_func"
"106","C26",0.290440268509497,"WFDP","fdis_func"
"107","C27",0.288216303397402,"WFDP","fdis_func"
"108","C28",0.285965367634342,"WFDP","fdis_func"
"109","C29",0.274482126262239,"WFDP","fdis_func"
"110","C30",0.232049636975128,"WFDP","fdis_func"
"111","C31",0.299243482398571,"WFDP","fdis_func"
"112","C32",0.295036020805319,"WFDP","fdis_func"
"113","C33",0.254367938731689,"WFDP","fdis_func"
"114","C34",0.292474878454705,"WFDP","fdis_func"
"115","C35",0.270519157997729,"WFDP","fdis_func"
"116","C36",0.228206758851411,"WFDP","fdis_func"
"117","C37",0.214836782537004,"WFDP","fdis_func"
"118","C38",0.171059124286688,"WFDP","fdis_func"
"119","C39",0.261478711884087,"WFDP","fdis_func"
"120","C40",0.262943844904248,"WFDP","fdis_func"
"121","D01",0.232490250577198,"WFDP","fdis_func"
"122","D02",0.202499345078027,"WFDP","fdis_func"
"123","D03",0.216053914126501,"WFDP","fdis_func"
"124","D04",0.0476587555707712,"WFDP","fdis_func"
"125","D05",0.12904043381789,"WFDP","fdis_func"
"126","D06",0.184462100578594,"WFDP","fdis_func"
"127","D07",0.269950477450257,"WFDP","fdis_func"
"128","D08",0.259370936609544,"WFDP","fdis_func"
"129","D09",0.162576052127399,"WFDP","fdis_func"
"130","D10",0.219784499641063,"WFDP","fdis_func"
"131","D11",0.220718629563718,"WFDP","fdis_func"
"132","D12",0.188578972167118,"WFDP","fdis_func"
"133","D13",0.177569265472203,"WFDP","fdis_func"
"134","D14",0.137546869146769,"WFDP","fdis_func"
"135","D15",0.241779229680989,"WFDP","fdis_func"
"136","D16",0.222955154298781,"WFDP","fdis_func"
"137","D17",0.110855160690509,"WFDP","fdis_func"
"138","D18",0.195094860634726,"WFDP","fdis_func"
"139","D19",0.117159153884351,"WFDP","fdis_func"
"140","D20",0.29217559393562,"WFDP","fdis_func"
"141","D21",0.2026069610388,"WFDP","fdis_func"
"142","D22",0.290440745341307,"WFDP","fdis_func"
"143","D23",0.176158545520835,"WFDP","fdis_func"
"144","D24",0.291077952239171,"WFDP","fdis_func"
"145","D25",0.299012146915844,"WFDP","fdis_func"
"146","D26",0.272306372326824,"WFDP","fdis_func"
"147","D27",0.275149872064322,"WFDP","fdis_func"
"148","D28",0.242086214335702,"WFDP","fdis_func"
"149","D29",0.292524915628038,"WFDP","fdis_func"
"150","D30",0.296191270581275,"WFDP","fdis_func"
"151","D31",0.27764751935981,"WFDP","fdis_func"
"152","D32",0.292718824760368,"WFDP","fdis_func"
"153","D33",0.275006725906757,"WFDP","fdis_func"
"154","D34",0.170759082896442,"WFDP","fdis_func"
"155","D35",0.286077585483638,"WFDP","fdis_func"
"156","D36",0.279758209975304,"WFDP","fdis_func"
"157","D37",0.291552849231966,"WFDP","fdis_func"
"158","D38",0.189747072015466,"WFDP","fdis_func"
"159","D39",0.242648864037062,"WFDP","fdis_func"
"160","D40",0.269638744051837,"WFDP","fdis_func"
"161","E01",0.269721383847929,"WFDP","fdis_func"
"162","E02",0.295480411041112,"WFDP","fdis_func"
"163","E03",0.298776657654555,"WFDP","fdis_func"
"164","E04",0.261347717839896,"WFDP","fdis_func"
"165","E05",0.277391207815056,"WFDP","fdis_func"
"166","E06",0.289654785583978,"WFDP","fdis_func"
"167","E07",0.269747168819467,"WFDP","fdis_func"
"168","E08",0.278562853526245,"WFDP","fdis_func"
"169","E09",0.294236667140207,"WFDP","fdis_func"
"170","E10",0.295436046640963,"WFDP","fdis_func"
"171","E11",0.21901775458419,"WFDP","fdis_func"
"172","E12",0.209236912873686,"WFDP","fdis_func"
"173","E13",0.197952889917335,"WFDP","fdis_func"
"174","E14",0.184357002258988,"WFDP","fdis_func"
"175","E15",0.171615587762176,"WFDP","fdis_func"
"176","E16",0.0774653216636923,"WFDP","fdis_func"
"177","E17",0.211687992715722,"WFDP","fdis_func"
"178","E18",0.252630385816442,"WFDP","fdis_func"
"179","E19",0.221129703496153,"WFDP","fdis_func"
"180","E20",0.290313874439846,"WFDP","fdis_func"
"181","E21",0.290743709548866,"WFDP","fdis_func"
"182","E22",0.281435854397176,"WFDP","fdis_func"
"183","E23",0.247936807422492,"WFDP","fdis_func"
"184","E24",0.23857488494534,"WFDP","fdis_func"
"185","E25",0.283723200577255,"WFDP","fdis_func"
"186","E26",0.293558097846497,"WFDP","fdis_func"
"187","E27",0.278410372046595,"WFDP","fdis_func"
"188","E28",0.291718987272577,"WFDP","fdis_func"
"189","E29",0.291198753382897,"WFDP","fdis_func"
"190","E30",0.296698545711738,"WFDP","fdis_func"
"191","E31",0.295932189443443,"WFDP","fdis_func"
"192","E32",0.289944589715043,"WFDP","fdis_func"
"193","E33",0.250032099904645,"WFDP","fdis_func"
"194","E34",0.267659198566008,"WFDP","fdis_func"
"195","E35",0.29252154319792,"WFDP","fdis_func"
"196","E36",0.242846662570556,"WFDP","fdis_func"
"197","E37",0.255971771706963,"WFDP","fdis_func"
"198","E38",0.171386726454888,"WFDP","fdis_func"
"199","E39",0.189766416122532,"WFDP","fdis_func"
"200","E40",0.187588754332836,"WFDP","fdis_func"
"201","F01",0.280322658207871,"WFDP","fdis_func"
"202","F02",0.266766542267224,"WFDP","fdis_func"
"203","F03",0.246524695464798,"WFDP","fdis_func"
"204","F04",0.274785836919624,"WFDP","fdis_func"
"205","F05",0.284018189346484,"WFDP","fdis_func"
"206","F06",0.240148877680677,"WFDP","fdis_func"
"207","F07",0.229753033732517,"WFDP","fdis_func"
"208","F08",0.282274823327485,"WFDP","fdis_func"
"209","F09",0.294490632393551,"WFDP","fdis_func"
"210","F10",0.255931260588296,"WFDP","fdis_func"
"211","F11",0.211818338665184,"WFDP","fdis_func"
"212","F12",0.161121688539325,"WFDP","fdis_func"
"213","F13",0.278200234316654,"WFDP","fdis_func"
"214","F14",0.206391259133758,"WFDP","fdis_func"
"215","F15",0.290064113110221,"WFDP","fdis_func"
"216","F16",0.281257613637247,"WFDP","fdis_func"
"217","F17",0.279968213669301,"WFDP","fdis_func"
"218","F18",0.228949722622007,"WFDP","fdis_func"
"219","F19",0.233021129740986,"WFDP","fdis_func"
"220","F20",0.176929418581275,"WFDP","fdis_func"
"221","F21",0.22903979758718,"WFDP","fdis_func"
"222","F22",0.174307817448379,"WFDP","fdis_func"
"223","F23",0.2039001299958,"WFDP","fdis_func"
"224","F24",0.242390287775599,"WFDP","fdis_func"
"225","F25",0.209148645252389,"WFDP","fdis_func"
"226","F26",0.278552869903979,"WFDP","fdis_func"
"227","F27",0.182671626505702,"WFDP","fdis_func"
"228","F28",0.275719161766123,"WFDP","fdis_func"
"229","F29",0.296333840727317,"WFDP","fdis_func"
"230","F30",0.274096905645963,"WFDP","fdis_func"
"231","F31",0.291061478280883,"WFDP","fdis_func"
"232","F32",0.229958479618899,"WFDP","fdis_func"
"233","F33",0.197229261019109,"WFDP","fdis_func"
