"site","trait","estimate","variance","p","type"
"SERC","BarkThickness",0.506518090968796,0.00068124554265083,5.21894168120469e-85,"morph"
"SERC","LeafSize",0.449487813152112,0.00068172300899893,1.926072884402e-67,"morph"
"SERC","LWC",0.722994132195387,0.000685190784910842,2.21942337987112e-169,"morph"
"SERC","SeedMassKEW",0.398420285046841,0.000668154337924425,1.46679362018579e-54,"morph"
"SERC","SLA",0.607607628237596,0.000683932188595912,1.10806483464669e-120,"morph"
"SERC","WoodDensity",0.56258813784588,0.00068098302789744,2.72799613023838e-104,"morph"
"SERC","alkaloids",0.682823135248657,0.000684700918706145,1.68035875225561e-151,"meta"
"SERC","benzenoids",0.524269125253051,0.000683768137728908,1.47609667829968e-90,"meta"
"SERC","heterocyclics",0.491198873242025,0.000684588382697119,1.01770553588472e-79,"meta"
"SERC","lipids",0.673002192839373,0.000685047234604111,3.49517163629063e-147,"meta"
"SERC","organic_acids",0.714370168363638,0.000684456442283751,1.31398296365078e-165,"meta"
"TRCP","BarkThickness",0.635515703436273,0.000534837091413811,1.44074835927162e-167,"morph"
"TRCP","LeafSize",0.398972056025206,0.000533734594203225,9.00633828294736e-68,"morph"
"TRCP","LWC",0.780629385580912,0.000535393643878845,4.57063495944405e-251,"morph"
"TRCP","SeedMassKEW",0.548150173246766,0.000533414953688877,1.04826991306579e-125,"morph"
"TRCP","SLA",0.743617807686697,0.000533902991158341,9.80087831561789e-229,"morph"
"TRCP","WoodDensity",0.318397042133911,0.000532651798977412,4.09397398951628e-44,"morph"
"TRCP","alkaloids",0.60066504944712,0.000532713342407096,1.38582808164751e-150,"meta"
"TRCP","benzenoids",0.627452572906286,0.000532857962794669,5.1686908816501e-164,"meta"
"TRCP","heterocyclics",0.469751086226295,0.000533429808935036,5.04210376125146e-93,"meta"
"TRCP","lipids",0.6436423934096,0.000533686760914248,3.58282060119505e-172,"meta"
"TRCP","organic_acids",0.664336584862912,0.000532920674448516,1.71365804595798e-183,"meta"
"WFDP","BarkThickness",0.386992655471317,0.000423029695962764,6.6796933254155e-80,"morph"
"WFDP","LeafSize",0.425428107630425,0.000422965153311919,4.77859193487703e-96,"morph"
"WFDP","LWC",0.409098248240894,0.000422985818432404,5.28440221098302e-89,"morph"
"WFDP","SeedMassKEW",0.330233399624236,0.000422989167752377,7.50371564781228e-59,"morph"
"WFDP","SLA",0.392807227165683,0.000423001561150639,2.99366492506881e-82,"morph"
"WFDP","WoodDensity",0.467596814682788,0.000423085325045076,1.86112512839742e-115,"morph"
"WFDP","alkaloids",0.363018484252598,0.000423119976419378,1.36529515061505e-70,"meta"
"WFDP","benzenoids",0.460066181840116,0.000422836563815354,6.45483934459879e-112,"meta"
"WFDP","heterocyclics",0.296854563158225,0.000422986858653518,5.24531804288725e-48,"meta"
"WFDP","lipids",0.431093166811499,0.000423230721756699,1.71328964644652e-98,"meta"
"WFDP","organic_acids",0.47980987923338,0.00042305487408693,1.95800960822649e-121,"meta"
