"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","env","site"
"Al...1",-0.296750977610429,0.163590719963138,-0.335682895314607,0.119081116346456,0.0339841498470246,0.082621009829556,-0.00301212176855387,-0.222840745617824,0.153540729753682,-0.0233878036436188,0.161043996158697,-0.0122054365940053,0.344046633157144,-0.216826931948151,0.690810880007835,-0.0771718830284535,-0.02398352554025,0.033037372856883,0.0153509300164963,"Al","SERC"
"BS...2",0.363836540826248,-0.104981552267466,0.256418659203938,-0.111195479658501,-0.00624628733835406,-0.0671693288778355,-0.00233024436829695,0.105416812855896,-0.0843872213807777,0.066856510889885,-0.109870427871364,0.0597918979407263,-0.286561909132581,-0.0614301792145898,0.595957992838518,0.302512352601015,0.140045562664345,-0.42389440466598,0.0609110906285639,"BS","SERC"
"Ca...3",0.418952978328299,0.0142585900714337,0.044883511438763,-0.0331562082258584,0.0153072305112958,-0.0127571221285717,-0.0113163026943756,0.0672603881030874,0.0287712456616979,0.0604539702414359,0.184904839908118,0.168357656716924,0.342806826228662,-0.129114362153355,0.00671107040055369,0.38210962690837,-0.0963941828575642,0.343382153620018,-0.584510567364189,"Ca","SERC"
"ECEC...4",0.294278251644922,0.26196810035729,-0.270538349650003,0.0740909514415995,0.0410123342963957,0.0838533544037707,-0.00257491259494861,-0.107277131781977,0.125493742273905,0.0446016686205184,0.181805035906533,0.143153214552527,0.313903043385843,0.101005684905091,-0.28420160812591,-0.000465727571472191,0.0220501738165558,-0.695242959975491,0.034974588403017,"ECEC","SERC"
"Fe...5",-0.176004200871296,0.371742894206203,-0.056533415553939,0.146031326347108,0.071032623071522,0.010775671738177,0.0987460813582332,0.185347035457526,0.184614872733949,0.286881945961524,-0.211535292956106,0.611940057261345,-0.321555376742402,-0.320102364466446,-0.0720159432031264,-0.0130759832237219,0.056388727554459,0.0378547287573789,-0.0748829700878549,"Fe","SERC"
"K...6",0.309655452675013,0.155170937505938,-0.260704074528635,0.146865821212955,0.0140898368318102,0.0602613454106587,0.0172594136593384,-0.110451175812035,0.210951765836765,-0.20761122480136,-0.379744215822706,-0.503971577768498,-0.180370072366449,-0.466559977108905,-0.119505856707841,0.0742166205637757,0.11862051774547,0.0549416802973342,-0.0358490993992232,"K","SERC"
"Mg...7",0.328640657462869,0.222480655078859,-0.212529399740817,-0.0143199772656865,0.0155540688633626,0.0803170434407903,-0.0138693208423693,-0.18639941534312,0.0858889810336478,-0.0628118613561338,-0.0263301455239962,0.0569490940268485,-0.375898994483677,0.541368120629663,0.212571292917868,-0.390850047759177,-0.0616582321953423,0.166276329925771,-0.276506642596341,"Mg","SERC"
"Mn...8",0.040294596240657,0.190367920129815,0.380058488237843,-0.0874277014929732,-0.120904758212309,0.105023901160574,-0.178939184421164,-0.639946021380763,-0.329388144213003,-0.204460092695119,-0.250168281676926,0.258153293325564,0.126851776723061,-0.181591755114415,-0.0448780191117273,-0.110249764179172,0.00388585928600447,0.000694783031973616,-0.00841909011631069,"Mn","SERC"
"Na...9",-0.00702967565813188,0.402526323509092,0.183136197959499,-0.0491421296073468,-0.019456320085575,0.0457966576525193,-0.0249387695876822,-0.139542175168238,-0.193278810337986,0.366633483490834,0.605734599551142,-0.336047955347216,-0.289913436539531,-0.182046492044038,-0.0543822275011552,0.00458608222531459,0.0740469365618184,0.043967884939242,0.0139546370622461,"Na","SERC"
"NH4...10",-0.0631550181533679,0.362340716437117,0.327505540850115,0.0991819594609543,0.00468267392156105,-0.0965699659210442,-0.0131087591876963,0.257763132089782,0.179934798211995,-0.388501563799996,0.0675878420460927,-0.0324208412405888,0.179133293605121,0.176215674557088,0.0352293004844732,-0.0388990735107615,0.641106448422651,0.0714811391220546,-0.0266674537114228,"NH4","SERC"
