"","variables","BarkThickness TRCP","LeafSize TRCP","LWC TRCP","SeedMassKEW TRCP","SLA TRCP","WoodDensity TRCP","alkaloids TRCP","benzenoids TRCP","heterocyclics TRCP","lipids TRCP","organic_acids TRCP","BarkThickness WFDP","LeafSize WFDP","LWC WFDP","SeedMassKEW WFDP","SLA WFDP","WoodDensity WFDP","alkaloids WFDP","benzenoids WFDP","heterocyclics WFDP","lipids WFDP","organic_acids WFDP","BarkThickness SERC","LeafSize SERC","LWC SERC","SeedMassKEW SERC","SLA SERC","WoodDensity SERC","alkaloids SERC","benzenoids SERC","heterocyclics SERC","lipids SERC","organic_acids SERC"
"1","K",0.409526090808243,0.0137116593971234,0.00621936189528227,NA,0.00158439359091733,0.00354753101572683,0.00583005638531003,0.00395252511017019,0.00167532437164936,0.0122889910140651,0.00729477062319661,0.0141087984762065,0.00799458761167092,0.00873298801543067,NA,0.00852757605792727,0.0214116720878282,0.00406219213550371,NA,NA,0.00671313080950774,0.0110664822917864,NA,0.00143010739513505,NA,NA,NA,0.0032493018560418,NA,NA,0.010628341893601,NA,0.00166336240074355
"2","elev_mean",0.117569090482425,0.0282899302026224,0.149116367125389,0.29890090745569,0.466795323831966,0.0471833003931439,0.118633175560269,0.183849735194179,0.0351183070263641,0.249735834576637,0.309243447059443,0.0744379755988473,0.063581018949616,0.0696703466418572,NA,0.071658977918827,0.0510716913364624,0.0663969552776032,0.0740392687367463,NA,0.0857766298844623,0.0832932056556398,0.103357477699737,0.0392503932096786,0.00875093508724414,0.0118981029307297,NA,0.0890382963820539,0.0151056302190319,0.00201040390061658,0.0390496632874628,0.050888810778573,0.0087699274205395
"3","sin_aspect",0.0387978415601801,NA,0.00158557083394584,0.0210031072294401,NA,0.00249067183271151,NA,NA,0.00108626924483868,0.0018388459955716,0.00176392207580967,NA,NA,NA,NA,NA,NA,NA,0.00220509955784148,NA,NA,NA,0.0044294701623763,0.00120350631229993,0.00168584434601848,0.00189042079509436,0.00105119767175672,0.00613748754910395,0.00133345487811859,NA,NA,0.00244082088229641,NA
"4","cos_aspect",0.0109600813651953,0.0011156046099578,0.0134212954524775,0.0181469375822057,0.0392758033146443,0.00983535161495469,0.0088324480788714,0.0551340623612545,0.0295782364252917,0.0405822486502372,0.0441135839026662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00908629936918437,0.0112915930903967,NA,0.00417740601043039,NA,0.00255766611932623,NA,0.00422597625402008,NA,NA,NA
"5","Na",0.00772757620268971,0.00553439803243694,0.00154457893772553,0.00160442107400649,0.00222384742638082,0.00357708009550861,0.00279172166631608,NA,NA,0.00326004286070652,0.00210240970344899,0.00939769167690761,0.00595499681498023,0.00555766510927451,NA,0.00674807455328141,0.0108308025070307,0.00688978967655973,0.00639917104223038,NA,0.00990994356870863,0.012180035941009,NA,0.00649067157185423,0.0224515279475963,0.0140000078161673,0.0526700342482225,0.0108228631481537,0.0118037000373793,0.0106342369615229,0.0108427909501285,0.0294260278388369,0.0193702210631464
"6","P",0.00358027986781784,NA,0.0540848140028748,0.00114027070174938,0.0388756619046943,0.00736386622976434,NA,0.00737063978999536,NA,NA,0.0113057792584958,0.00289850838329973,0.00199232931352357,0.00175495912294921,0.00498713971793383,0.00167007375987684,0.00546812382556376,0.00155084381683734,NA,NA,0.00152854481562861,0.00149828357807963,0.00197556400496041,0.0153280824706663,0.0812796085205196,0.00119033163559459,NA,NA,0.0968980656241182,0.0541285366178406,0.0196318103224806,NA,0.089207115579691
"7","convexity",0.00204700511371814,0.00151638227483292,0.00441704660596187,0.00228315160966841,0.00365145620535634,0.00392953446504019,0.0137626545911114,0.00921025330619146,0.00190625288077872,0.00182653946004152,NA,NA,NA,NA,NA,NA,NA,NA,0.0149971979926735,0.00204066251864583,0.00425036925879731,0.0058535104449719,0.00188600519571705,0.00498901729633547,0.00601527544648697,0.0033716261781518,NA,0.0121849984709795,0.00443795812653702,NA,0.00175201328461186,0.00484973769441618,0.0041458429777278
"8","aspect",0.00146156208353709,NA,0.0150772488464349,0.00168741023134966,0.00583484803666334,NA,0.0387929688087403,0.00202290969272734,0.10823406661909,0.00371960936717919,0.00215399980111708,0.00199049718751607,0.00310945886573206,0.00348014351340505,0.00589048004977023,0.00320567753309825,0.00174615434083414,0.00281996621705777,NA,0.00545331260378967,0.00133996072185005,0.0014305292356705,0.00535151015540752,0.00218257976811964,0.012700413070846,0.00130747186952175,0.0047997444428622,NA,0.0171658265569892,0.0123108363882546,0.00957399005591614,0.00982441879085008,0.0225348075055986
"9","Fe",NA,0.216868879043889,NA,0.0584475201590571,0.0139189082347886,0.09723654498875,0.0134117039356061,0.0146289982441599,0.0177159510505732,0.00386539846646389,0.00957154810325611,0.00679562441470315,0.00388606361672059,0.0123495997098955,0.00536827775451828,0.0121047001485718,0.0270077397901158,0.00200739169883067,0.0101711232874585,NA,0.0158721058635181,0.021122700111088,NA,0.00134963717827841,0.0095887450430184,NA,0.0010904558826683,0.053049566937049,0.00673086688237726,0.00306856062690392,0.0760239469840478,0.0912630807728146,0.00625664479431168
"10","slope",NA,0.0268369601750255,0.00111039794149159,0.049827965507134,NA,0.00882340098977286,0.0840554412271065,0.00991190874449777,0.0263701638835926,0.0212498197130266,0.00498926834758795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00405291425286744,0.0042078733643518,NA,0.00263239669305641,NA,NA,0.00121887836616769,0.00471991540426986,0.00559244449017787,NA,NA
