"","variables","TRCP func","TRCP meta","WFDP func","WFDP meta","SERC func","SERC meta"
"1","pHCaCl2",0.524074817638545,NA,NA,NA,0.0210808907607486,0.0111662435165693
"2","elev_mean",0.178617445156198,0.263689792580555,0.067393359663236,0.0858232458007541,0.0118300729526708,NA
"3","P",0.0480608125351139,NA,NA,NA,0.0509358265471347,0.0778791107130805
"4","cos_aspect",0.0162876357532324,0.0343601193530551,NA,NA,NA,NA
"5","aspect",0.0144176307655938,NA,NA,NA,0.0108467134608576,0.0221544738622132
"6","Fe",0.00756328331123013,NA,NA,NA,0.0794779170006993,0.00938249403280011
"7","convexity",0.00516328376563091,NA,NA,NA,NA,NA
"8","K",0.00344129916599578,NA,0.00843552792479509,0.00725601910486395,NA,NA
"9","Mn",NA,0.050840901123107,NA,NA,NA,NA
"10","slope",NA,0.0169447228577574,NA,NA,NA,NA
"11","NH4",NA,0.00573130021295698,NA,NA,NA,0.00751272869399788
"12","Na",NA,NA,0.00644031054223763,0.00977916270808858,0.0141341808915114,0.0113830514485466
"13","BS",NA,NA,NA,NA,0.0375240731934035,NA
"14","TotN",NA,NA,NA,NA,0.0107230235146947,0.0157112735498879
"15","TEB",NA,NA,NA,NA,NA,0.0893498164827708
"16","ECEC",NA,NA,NA,NA,NA,0.0344430596539904
