"trait","site","r2","part"
"BarkThickness","TRCP",0.00932588207565466,"env"
"BarkThickness","TRCP",0.575770921504469,"both"
"BarkThickness","TRCP",0.186535567373968,"sp"
"BarkThickness","TRCP",0.228367629045908,"res"
"LeafSize","TRCP",0.0166299748145394,"env"
"LeafSize","TRCP",0.303074423605095,"both"
"LeafSize","TRCP",0.253297271294382,"sp"
"LeafSize","TRCP",0.426998330285984,"res"
"LWC","TRCP",0.0104933026424675,"env"
"LWC","TRCP",0.781222096956546,"both"
"LWC","TRCP",0.104255472295065,"sp"
"LWC","TRCP",0.104029128105921,"res"
"SeedMassKEW","TRCP",7.76248659729584e-05,"env"
"SeedMassKEW","TRCP",0.507739334622747,"both"
"SeedMassKEW","TRCP",0.184570786250038,"sp"
"SeedMassKEW","TRCP",0.307612254261242,"res"
"SLA","TRCP",0.00754445314482821,"env"
"SLA","TRCP",0.72040184318931,"both"
"SLA","TRCP",0.141902867031517,"sp"
"SLA","TRCP",0.130150836634345,"res"
"WoodDensity","TRCP",0.0222719772362059,"env"
"WoodDensity","TRCP",0.205171108744137,"both"
"WoodDensity","TRCP",0.232225570714293,"sp"
"WoodDensity","TRCP",0.540331343305364,"res"
"alkaloids","TRCP",8.81478718008921e-05,"env"
"alkaloids","TRCP",0.380010274386979,"both"
"alkaloids","TRCP",0.393063881756773,"sp"
"alkaloids","TRCP",0.226837695984447,"res"
"benzenoids","TRCP",0.000409806619198649,"env"
"benzenoids","TRCP",0.381058337175683,"both"
"benzenoids","TRCP",0.425087078930339,"sp"
"benzenoids","TRCP",0.193444777274779,"res"
"heterocyclics","TRCP",0.00822963551338052,"env"
"heterocyclics","TRCP",0.275359261581366,"both"
"heterocyclics","TRCP",0.349481868128915,"sp"
"heterocyclics","TRCP",0.366929234776338,"res"
"lipids","TRCP",0.00421707770926627,"env"
"lipids","TRCP",0.398892164271812,"both"
"lipids","TRCP",0.402632853187527,"sp"
"lipids","TRCP",0.194257904831395,"res"
"organic_acids","TRCP",0.00291414257603151,"env"
"organic_acids","TRCP",0.457036092989793,"both"
"organic_acids","TRCP",0.362616741379027,"sp"
"organic_acids","TRCP",0.177433023055148,"res"
"BarkThickness","WFDP",0.000917442782026878,"env"
"BarkThickness","WFDP",0.118538740753418,"both"
"BarkThickness","WFDP",0.32238807177279,"sp"
"BarkThickness","WFDP",0.558155744691765,"res"
"LeafSize","WFDP",-0.00142598403016259,"env"
"LeafSize","WFDP",0.098350040882154,"both"
"LeafSize","WFDP",0.329173548260808,"sp"
"LeafSize","WFDP",0.5739023948872,"res"
"LWC","WFDP",-0.00243237873211821,"env"
"LWC","WFDP",0.103904511947362,"both"
"LWC","WFDP",0.326950889064969,"sp"
"LWC","WFDP",0.571576977719786,"res"
"SeedMassKEW","WFDP",0.00576759464210475,"env"
"SeedMassKEW","WFDP",0.0152474459465849,"both"
"SeedMassKEW","WFDP",0.318606862335157,"sp"
"SeedMassKEW","WFDP",0.660378097076154,"res"
"SLA","WFDP",-0.00226365248196991,"env"
"SLA","WFDP",0.104810696180664,"both"
"SLA","WFDP",0.321213093875871,"sp"
"SLA","WFDP",0.576239862425435,"res"
"WoodDensity","WFDP",0.0018397419418531,"env"
"WoodDensity","WFDP",0.120268508714345,"both"
"WoodDensity","WFDP",0.356592148614204,"sp"
"WoodDensity","WFDP",0.521299600729598,"res"
"alkaloids","WFDP",0.000607339352212133,"env"
"alkaloids","WFDP",0.0851097757598588,"both"
"alkaloids","WFDP",0.311300955129112,"sp"
"alkaloids","WFDP",0.602981929758817,"res"
"benzenoids","WFDP",0.00195249566198263,"env"
"benzenoids","WFDP",0.104857376999149,"both"
"benzenoids","WFDP",0.418517118858198,"sp"
"benzenoids","WFDP",0.47467300848067,"res"
"heterocyclics","WFDP",0.00199548684736206,"env"
"heterocyclics","WFDP",0.00706460534630116,"both"
"heterocyclics","WFDP",0.359199952083049,"sp"
"heterocyclics","WFDP",0.631739955723288,"res"
"lipids","WFDP",-0.00108706668928193,"env"
"lipids","WFDP",0.121366385719362,"both"
"lipids","WFDP",0.345204909181736,"sp"
"lipids","WFDP",0.534515771788184,"res"
"organic_acids","WFDP",-0.00541493352858557,"env"
"organic_acids","WFDP",0.141857652099133,"both"
"organic_acids","WFDP",0.376512104266758,"sp"
"organic_acids","WFDP",0.487045177162694,"res"
"BarkThickness","SERC",-0.00501924853781544,"env"
"BarkThickness","SERC",0.180786596722258,"both"
"BarkThickness","SERC",0.275396384728432,"sp"
"BarkThickness","SERC",0.548836267087125,"res"
"LeafSize","SERC",0.0197959798305508,"env"
"LeafSize","SERC",0.220372524884416,"both"
"LeafSize","SERC",0.307113735570853,"sp"
"LeafSize","SERC",0.45271775971418,"res"
"LWC","SERC",0.0166760640118154,"env"
"LWC","SERC",0.236609476257178,"both"
"LWC","SERC",0.429630897434967,"sp"
"LWC","SERC",0.317083562296039,"res"
"SeedMassKEW","SERC",-0.00590620241718287,"env"
"SeedMassKEW","SERC",0.0501124956976768,"both"
"SeedMassKEW","SERC",0.452622268718765,"sp"
"SeedMassKEW","SERC",0.503171438000741,"res"
"SLA","SERC",0.00262229246507051,"env"
"SLA","SERC",0.0929760561372317,"both"
"SLA","SERC",0.246070547062042,"sp"
"SLA","SERC",0.658331104335656,"res"
"WoodDensity","SERC",0.00246443996459811,"env"
"WoodDensity","SERC",0.205681881237571,"both"
"WoodDensity","SERC",0.409309993476423,"sp"
"WoodDensity","SERC",0.382543685321408,"res"
"alkaloids","SERC",-0.00285631064689595,"env"
"alkaloids","SERC",0.246926389705721,"both"
"alkaloids","SERC",0.38851210127297,"sp"
"alkaloids","SERC",0.367417819668205,"res"
"benzenoids","SERC",0.00843856138731103,"env"
"benzenoids","SERC",0.208926080815904,"both"
"benzenoids","SERC",0.359408858362889,"sp"
"benzenoids","SERC",0.423226499433897,"res"
"heterocyclics","SERC",0.00208499223872172,"env"
"heterocyclics","SERC",0.199679856181882,"both"
"heterocyclics","SERC",0.339078475240397,"sp"
"heterocyclics","SERC",0.459156676338999,"res"
"lipids","SERC",0.0226512580157605,"env"
"lipids","SERC",0.205564768284379,"both"
"lipids","SERC",0.449185931749362,"sp"
"lipids","SERC",0.322598041950498,"res"
"organic_acids","SERC",0.00763065585486933,"env"
"organic_acids","SERC",0.24762785297929,"both"
"organic_acids","SERC",0.419422709177394,"sp"
"organic_acids","SERC",0.325318781988448,"res"
