"trait","site","r2","part","env"
"func","TRCP",0.00542989151625628,"env","topo"
"func","TRCP",0.750193626182381,"both","topo"
"func","TRCP",0.143761105913112,"sp","topo"
"func","TRCP",0.100615376388251,"res","topo"
"func","TRCP",0.00513171541533419,"env","soil"
"func","TRCP",0.684507328838062,"both","soil"
"func","TRCP",0.209447403257431,"sp","soil"
"func","TRCP",0.100913552489173,"res","soil"
"meta","TRCP",-0.000517322779865936,"env","topo"
"meta","TRCP",0.32579201997695,"both","topo"
"meta","TRCP",0.502526778370795,"sp","topo"
"meta","TRCP",0.172198524432122,"res","topo"
"meta","TRCP",0.00234018968013638,"env","soil"
"meta","TRCP",0.293072181739192,"both","soil"
"meta","TRCP",0.543200900437121,"sp","soil"
"meta","TRCP",0.161386728143551,"res","soil"
"func","WFDP",0.00282146089198576,"env","topo"
"func","WFDP",0.0684916372779617,"both","topo"
"func","WFDP",0.342216839603785,"sp","topo"
"func","WFDP",0.586470062226267,"res","topo"
"func","WFDP",-0.000480355665482435,"env","soil"
"func","WFDP",0.0958603618038375,"both","soil"
"func","WFDP",0.330704127012173,"sp","soil"
"func","WFDP",0.573915866849472,"res","soil"
"meta","WFDP",-0.000769644376885315,"env","topo"
"meta","WFDP",0.0906921394033725,"both","topo"
"meta","WFDP",0.359391775422438,"sp","topo"
"meta","WFDP",0.550685729551075,"res","topo"
"meta","WFDP",-0.00241200273946607,"env","soil"
"meta","WFDP",0.120365781274246,"both","soil"
"meta","WFDP",0.335855253392887,"sp","soil"
"meta","WFDP",0.546190968072333,"res","soil"
"func","SERC",0.00333444704640196,"env","topo"
"func","SERC",0.000374236036754461,"both","topo"
"func","SERC",0.664547997988484,"sp","topo"
"func","SERC",0.331743318928359,"res","topo"
"func","SERC",0.0138891335535498,"env","soil"
"func","SERC",0.201448730503539,"both","soil"
"func","SERC",0.463473503521699,"sp","soil"
"func","SERC",0.321188632421212,"res","soil"
"meta","SERC",0.00154861544462437,"env","topo"
"meta","SERC",0.0107148047712069,"both","topo"
"meta","SERC",0.665915349218343,"sp","topo"
"meta","SERC",0.321821230565826,"res","topo"
"meta","SERC",0.00443613066533821,"env","soil"
"meta","SERC",0.248531626066956,"both","soil"
"meta","SERC",0.422806298750512,"sp","soil"
"meta","SERC",0.324225944517194,"res","soil"
