"variables","order","R2","R2Cum","AdjR2Cum","F","pvalue","site","trait"
"K",6,0.409526090808243,0.409526090808243,0.408354515591593,349.551684764323,0.001,"TRCP","BarkThickness"
"elev_mean",19,0.117569090482425,0.527095181290668,0.525214844039338,125.051067726607,0.001,"TRCP","BarkThickness"
"sin_aspect",17,0.0387978415601801,0.565893022850848,0.563298758047168,44.8657070455668,0.001,"TRCP","BarkThickness"
"cos_aspect",16,0.0109600813651953,0.576853104216043,0.573474685886431,12.9765828809633,0.001,"TRCP","BarkThickness"
"Na",9,0.00772757620268971,0.584580680418733,0.58042648722292,9.30093502930837,0.005,"TRCP","BarkThickness"
"P",12,0.00358027986781784,0.588160960286551,0.583208987865147,4.33800461288022,0.051,"TRCP","BarkThickness"
"convexity",18,0.00204700511371814,0.590207965400269,0.584447836399871,2.48762411311228,0.116,"TRCP","BarkThickness"
"aspect",15,0.00146156208353709,0.591669527483806,0.585096803580125,1.77894231366513,0.195,"TRCP","BarkThickness"
"MEM6",6,0.0965747859838669,0.0965747859838669,0.0947822756385966,53.8768360465526,0.001,"TRCP","BarkThickness"
"MEM8",8,0.0656416870133013,0.162216472997168,0.158885325772505,39.4108591342343,0.001,"TRCP","BarkThickness"
"MEM7",7,0.0603370216611543,0.222553494658322,0.217907400004886,38.9598315328304,0.001,"TRCP","BarkThickness"
"MEM2",2,0.0576029651675305,0.280156459825853,0.274409206012087,40.0907752008875,0.001,"TRCP","BarkThickness"
"MEM3",3,0.0357791681600157,0.315935627985869,0.309094984265727,26.1519015050214,0.001,"TRCP","BarkThickness"
"MEM16",16,0.0319200358368124,0.347855663822681,0.340014248958825,24.424191086187,0.001,"TRCP","BarkThickness"
"MEM38",38,0.0255733380642261,0.373429001886907,0.364621779021864,20.3257450382118,0.001,"TRCP","BarkThickness"
"MEM10",10,0.0220961052666715,0.395525107153579,0.385795128999109,18.1674449137557,0.001,"TRCP","BarkThickness"
"MEM13",13,0.0211941045828616,0.41671921173644,0.406135487755852,18.0226677864612,0.001,"TRCP","BarkThickness"
"MEM14",14,0.0177831528011701,0.43450236453761,0.423078169881805,15.5662200592254,0.001,"TRCP","BarkThickness"
"MEM31",31,0.0172053607643518,0.451707725301962,0.439498788011115,15.5016742161299,0.001,"TRCP","BarkThickness"
"MEM45",45,0.0143439597602001,0.466051685062162,0.45305497151398,13.2439263575576,0.001,"TRCP","BarkThickness"
