"variables","order","R2","R2Cum","AdjR2Cum","F","pvalue","site","trait"
"pHCaCl2",13,0.524074817638545,0.524074817638545,0.523130521641796,554.989981364807,0.001,"TRCP","func"
"elev_mean",19,0.178617445156198,0.702692262794743,0.701510124674643,302.193867398548,0.001,"TRCP","func"
"P",12,0.0480608125351139,0.750753075329857,0.749263551875653,96.7976953960677,0.001,"TRCP","func"
"cos_aspect",16,0.0162876357532324,0.767040711083089,0.765180756680559,35.0280323669768,0.001,"TRCP","func"
"aspect",15,0.0144176307655938,0.781458341848683,0.77927292526717,32.9860011302996,0.001,"TRCP","func"
"Fe",5,0.00756328331123013,0.789021625159913,0.78648481103358,17.8884607257234,0.001,"TRCP","func"
"convexity",18,0.00516328376563091,0.794184908925544,0.79129192571767,12.4933273933445,0.002,"TRCP","func"
"K",6,0.00344129916599578,0.79762620809154,0.794368682266052,8.45132005172654,0.004,"TRCP","func"
"MEM8",8,0.133423652300448,0.133423652300448,0.131704254785171,77.5990724163407,0.001,"TRCP","func"
"MEM6",6,0.10714614453143,0.240569796831878,0.237550193638367,70.9670361732747,0.001,"TRCP","func"
"MEM2",2,0.0731092444778602,0.313679041309738,0.30957752163629,53.4747486043902,0.001,"TRCP","func"
"MEM38",38,0.0532277300898508,0.366906771399589,0.361852134843897,42.1219049111749,0.001,"TRCP","func"
"MEM7",7,0.0485923325587791,0.415499103958368,0.409654094997952,41.5673721698778,0.001,"TRCP","func"
"MEM3",3,0.0439020910129455,0.459401194971314,0.452901008938905,40.5238472813445,0.001,"TRCP","func"
"MEM16",16,0.0318324007090779,0.491233595680392,0.484082260679915,31.1587703482917,0.001,"TRCP","func"
"MEM22",22,0.0277537888076885,0.51898738448808,0.51124472669312,28.6762396506821,0.001,"TRCP","func"
"MEM41",41,0.0275209727651539,0.546508357253234,0.538279678251781,30.1006704530139,0.001,"TRCP","func"
"MEM44",44,0.0267362794366051,0.573244636689839,0.564623316218927,31.0118148685125,0.001,"TRCP","func"
"MEM14",14,0.0231182463647506,0.59636288305459,0.587375012029489,28.2937649307691,0.001,"TRCP","func"
"MEM13",13,0.0229886503432086,0.619351533397798,0.61008625632026,29.773940035455,0.001,"TRCP","func"
"MEM12",12,0.0179697456902103,0.637321279088009,0.627738304754968,24.3772638696629,0.001,"TRCP","func"
"MEM43",43,0.0127357640241417,0.65005704311215,0.640079036194778,17.8693698866402,0.001,"TRCP","func"
"MEM10",10,0.0119409612842124,0.661998004396363,0.651651004530945,17.3107588279609,0.001,"TRCP","func"
"MEM4",4,0.0102315988215792,0.672229603217942,0.661505009458202,15.2645018368727,0.001,"TRCP","func"
"MEM18",18,0.00985672690462946,0.682086330122571,0.671011468671923,15.1301538285966,0.002,"TRCP","func"
"MEM72",72,0.00960740892278455,0.691693739045356,0.680298435765718,15.1758453782565,0.002,"TRCP","func"
"MEM1",1,0.00937109913105305,0.701064838176409,0.689378072590713,15.2352575384873,0.001,"TRCP","func"
"MEM58",58,0.0090775670385187,0.710142405214928,0.698189514708327,15.1889068732047,0.001,"TRCP","func"
"MEM20",20,0.0074379854051243,0.717580390620052,0.705326647237864,12.7469368858059,0.001,"TRCP","func"
"MEM28",28,0.00739312479603615,0.724973515416088,0.712446429161748,12.9837651158864,0.001,"TRCP","func"
"MEM23",23,0.00682391846287567,0.731797433878964,0.718999386118001,12.2635989158349,0.002,"TRCP","func"
"MEM32",32,0.00675411740931986,0.738551551288284,0.725506306446119,12.4258930962908,0.002,"TRCP","func"
